,term,causal,coef,antonyms_opposite_coef,antonyms,antonym_source
0,disappoint,1,2.206,"{'sell': -0.957, 'make': -0.384, 'let': -1.028, 'please': -0.285}","{'make': -0.319, 'familiar': -0.519, 'admit': -0.364, 'let': -0.665, 'please': -0.431}",synonym_antonym
1,amazing,1,1.999,"{'expected': -0.987, 'ugly': -1.081}","{'expected': -0.983, 'ugly': -1.081}",synonym_antonym
2,wait,0,2.368,"{'activity': -0.375, 'show': -0.12, 'agree': -0.475}",{'continue': -0.105},antonym
3,wonderful,1,2.018,{'common': -0.383},{'common': -0.212},antonym
4,hooked,0,0.907,{'free': -1.484},{'free': -1.085},antonym
5,loved,1,2.508,"{'cold': -0.292, 'cheap': -1.06, 'push': -0.752, 'friend': -0.397, 'hate': -0.209, 'female': -0.595}",{'worthless': -0.596},antonym
6,excellent,1,1.732,"{'worst': -2.535, 'low': -0.542}","{'worst': -1.792, 'low': -0.214}",antonym
7,enjoyed,1,2.165,{'sit': -0.369},{'stand': -0.849},synonym_antonym
8,great,1,1.834,{'worst': -2.535},"{'little': -0.175, 'small': -0.721, 'worst': -1.792}",antonym
9,awesome,1,1.298,{'dull': -0.796},{'dull': -1.066},synonym_antonym
10,perfect,1,1.168,"{'incomplete': -1.447, 'dirty': -0.524, 'head': -0.022, 'dull': -0.796, 'kind': -0.584}",{'broken': -0.032},antonym
11,ride,0,0.982,"{'follow': -0.047, 'head': -0.022, 'activity': -0.375}","{'go': -0.151, 'stand': -0.849, 'activity': -0.375}",synonym_antonym
12,loves,1,0.874,"{'hate': -0.209, 'pack': -0.013}","{'hate': -0.71, 'pack': -0.013}",antonym
13,favorite,1,0.942,{'push': -0.752},{'push': -0.752},antonym
14,fascinating,1,1.332,{'uninteresting': -0.461},{'uninteresting': -0.731},antonym
15,hot,0,1.636,{'cold': -0.292},{'dark': -0.465},antonym
16,enjoyable,1,1.519,{'nasty': -0.255},{'nasty': -0.476},antonym
17,refreshing,1,1.137,"{'activity': -0.375, 'dull': -0.796}","{'old': -0.326, 'activity': -0.375, 'dull': -1.066}",synonym_antonym
18,regret,1,0.17,"{'appear': -0.028, 'man': -0.292}",{'afraid': -0.064},antonym
19,sister,0,0.243,{},{'brother': 0.0},oov_antonym
20,fun,1,1.815,{},{'frivolity': 0.0},oov_antonym
21,beautiful,1,1.569,"{'awkward': -0.343, 'ugly': -1.081}","{'awkward': -0.821, 'ugly': -1.081}",antonym
22,highly,0,1.733,{},{'unsexy': 0.0},oov_antonym
23,fantastic,1,1.785,{'common': -0.383},"{'familiar': -0.519, 'common': -0.212}",antonym
24,love,1,1.521,"{'hate': -0.209, 'pack': -0.013}","{'hate': -0.71, 'pack': -0.013}",antonym
25,wedding,0,0.836,{'finish': -1.526},{'finish': -0.786},synonym_antonym
26,turner,0,1.047,{'juvenile': -1.37},{'juvenile': -1.104},antonym
27,forward,0,1.268,"{'dirty': -0.524, 'dry': -0.251}","{'dirty': -0.056, 'dry': -0.306}",antonym
28,drag,1,0.523,{'push': -0.752},{'push': -0.752},antonym
29,stop,0,0.613,{'loose': -0.344},{'generous': -0.599},antonym
30,heart,0,1.989,"{'liking': -0.611, 'pleasure': -0.09}","{'liking': -0.453, 'pleasure': -0.35, 'immediate': -0.034}",synonym_antonym
31,exception,0,0.162,{},{'mind': -0.119},synonym_antonym
32,complaint,1,0.525,"{'healthy': -0.103, 'fit': -0.095, 'organized': -0.161}",{'amicable': 0.0},oov_antonym
33,pace,0,0.69,{'slow': -0.355},{'pull': -0.049},antonym
34,fabulous,1,1.076,"{'real': -0.155, 'ugly': -1.081}","{'real': -0.211, 'ugly': -1.081}",synonym_antonym
35,keeps,0,1.762,"{'waste': -2.916, 'wife': -0.462, 'sell': -0.957, 'act': -0.25, 'near': -1.079}",{'far': -0.333},antonym
36,coming,0,0.632,{'past': -0.031},{'go': -0.151},synonym_antonym
37,sitting,0,-0.256,{'follow': -0.047},{'advance': 0.454},antonym
38,continues,0,0.937,"{'follow': -0.047, 'waste': -2.916, 'appear': -0.028}",{'admit': -0.364},antonym
39,wonderfully,1,0.346,{'common': -0.383},{'common': -0.212},synonym_antonym
40,flowed,0,0.177,"{'follow': -0.047, 'dry': -0.251, 'rough': -0.822, 'head': -0.022, 'poor': -1.846, 'hard': -0.485, 'back': -0.275, 'unnecessary': -0.196, 'better': -0.308}",{'go': -0.151},antonym
41,considering,0,-0.012,"{'unhappy': -0.848, 'majority': -0.372, 'common': -0.383, 'material': -0.454, 'lack': -0.779}","{'add': 0.412, 'close': 1.103, 'keep': 0.39, 'survive': 0.418, 'lose': 0.122, 'dislike': 0.235, 'welcome': 0.018}",synonym_antonym
42,described,0,-0.283,{'real': -0.155},{'undelineated': 0.0},oov_antonym
43,caught,0,0.916,{'rush': -1.098},{'open': -0.062},antonym
44,down,0,1.004,{},{'up': 0.0},oov_antonym
45,finds,0,0.129,"{'back': -0.275, 'agree': -0.475, 'appear': -0.028, 'standard': -1.262}","{'appear': -0.028, 'standard': -0.799, 'come': -0.091}",synonym_antonym
46,cry,0,0.353,"{'slow': -0.355, 'hold': -1.188, 'low': -0.542, 'high': -0.232}",{'broken': -0.032},antonym
47,turning,0,0.408,{'death': -0.359},{'rear': 0.0},oov_antonym
48,wow,0,1.35,{'stupidity': -1.093},"{'familiar': -0.519, 'stupidity': -1.093, 'pull': -0.049}",synonym_antonym
49,guide,0,0.083,"{'back': -0.275, 'follow': -0.047, 'agree': -0.475, 'ugly': -1.081, 'focus': -0.292, 'wet': -0.239}","{'ugly': -1.081, 'focus': -0.292, 'wet': -0.239}",synonym_antonym
50,sexy,0,1.016,{'dry': -0.251},{'dry': -0.306},antonym
51,super,0,0.111,{'low': -0.542},{'low': -0.214},antonym
52,must,0,1.137,"{'unnecessary': -0.196, 'necessary': -0.329, 'have': -0.045}","{'necessary': -0.57, 'have': -0.111}",synonym_antonym
53,twist,0,0.192,{'follow': -0.047},{'go': -0.151},antonym
54,sweet,0,1.102,{'left': -0.899},{'left': -0.593},antonym
55,helps,0,0.176,"{'act': -0.25, 'stupidity': -1.093, 'uncomfortable': -0.477, 'activity': -0.375}","{'respect': -0.598, 'act': -0.25, 'forget': -1.009, 'stupidity': -1.093, 'uncomfortable': -0.477, 'pain': -0.458, 'activity': -0.375}",synonym_antonym
56,deep,1,0.64,{'shallow': -1.718},{'shallow': -0.863},antonym
57,british,0,-0.366,{'leave': -0.173},"{'order': 0.377, 'end': 0.821, 'late': 1.256}",synonym_antonym
58,worked,0,0.012,"{'dirty': -0.524, 'dry': -0.251, 'beginning': -0.281, 'worst': -2.535, 'dull': -0.796, 'stupidity': -1.093, 'give': -0.422, 'particular': -0.564}","{'innocence': -0.319, 'dirty': -0.056, 'dry': -0.306, 'beginning': -0.085, 'worst': -1.792, 'dull': -1.066, 'forget': -1.009, 'stupidity': -1.093, 'give': -0.209}",synonym_antonym
59,likes,1,1.407,"{'hate': -0.209, 'pack': -0.013, 'ahead': -0.333}","{'hate': -0.71, 'pack': -0.013}",synonym_antonym
60,twists,0,0.655,{'follow': -0.047},{'go': -0.151},antonym
61,creatures,0,0.015,"{'female': -0.595, 'girl': -1.146}","{'male': -0.344, 'female': -1.742, 'girl': -0.192}",antonym
62,intense,0,1.087,"{'stupid': -2.148, 'pleasure': -0.09, 'low': -0.542, 'high': -0.232, 'weak': -1.856, 'tender': -0.389, 'thin': -0.687, 'loose': -0.344, 'reasonable': -0.014, 'free': -1.484, 'better': -0.308, 'shallow': -1.718, 'healthy': -0.103, 'dull': -0.796, 'kind': -0.584}","{'moral': -0.289, 'stupid': -2.048, 'pleasure': -0.35, 'low': -0.214, 'high': -0.298, 'weak': -1.29, 'tender': -0.389, 'minimum': -0.36, 'thin': -0.416, 'reasonable': -0.293, 'free': -1.085, 'better': -0.291, 'little': -0.175, 'small': -0.721, 'shallow': -0.863, 'warm': -1.341, 'dull': -1.066, 'kind': -0.443}",synonym_antonym
63,wrong,1,0.641,{'accurate': -0.789},{'appropriate': -0.23},synonym_antonym
64,humans,0,1.259,"{'juvenile': -1.37, 'female': -0.595}","{'woman': -0.213, 'juvenile': -1.104, 'female': -1.742}",antonym
65,solid,1,1.16,"{'hate': -0.209, 'soft': -0.189, 'low': -0.542}","{'hate': -0.71, 'colorful': -0.066, 'soft': -0.189, 'low': -0.214}",synonym_antonym
66,vampire,0,-0.166,{},{'eudemon': 0.0},oov_antonym
67,wished,0,0.932,{'cold': -0.292},{'unwanted': 0.0},oov_antonym
68,available,0,0.702,"{'hard': -0.485, 'difficult': -0.856, 'straight': -0.328}","{'impossible': -0.521, 'little': -0.175, 'hard': -0.618, 'difficult': -0.478, 'straight': -0.398}",synonym_antonym
69,thrilling,0,0.915,{'uninteresting': -0.461},{'uninteresting': -0.731},synonym_antonym
70,penny,0,0.398,{'head': -0.022},{},empty
71,summer,0,-1.057,"{'beginning': -0.281, 'middle': -0.406}",{'day': 0.464},synonym_antonym
72,focused,0,-0.105,{},{'unfocused': 0.0},oov_antonym
73,play,0,-0.671,"{'man': -0.292, 'back': -0.275, 'agree': -0.475, 'figure': -0.066, 'lack': -0.779, 'incomplete': -1.447, 'pass': -0.311, 'better': -0.308, 'ahead': -0.333, 'married': -0.103}",{'start': 0.329},antonym
74,strong,1,1.115,"{'weak': -1.856, 'tender': -0.389}","{'weak': -1.29, 'tender': -0.389}",antonym
75,bedtime,0,0.398,{},{'day': 0.0},oov_antonym
76,pleased,1,1.014,{'unhappy': -0.848},"{'respect': -0.598, 'unhappy': -0.848}",synonym_antonym
77,wanting,0,0.533,{},{'adequate': 0.0},oov_antonym
78,late,0,1.256,"{'early': -0.023, 'middle': -0.406, 'immature': -0.846}","{'early': -0.104, 'middle': -0.304, 'immature': -0.475}",antonym
79,laugh,0,1.06,{},{'cry': 0.0},oov_antonym
80,ready,0,1.922,"{'push': -0.752, 'activity': -0.375}","{'push': -0.752, 'prepared': -0.291, 'activity': -0.375}",synonym_antonym
81,win,0,0.906,"{'man': -0.292, 'middle': -0.406}","{'man': -0.3, 'middle': -0.304}",synonym_antonym
82,appreciated,1,1.137,{'explicit': -0.091},{'explicit': -0.011},antonym
83,hanger,0,-0.196,{},{'nonworker': 0.0},oov_antonym
84,surely,0,-0.104,{},{'uncertainty': 0.0},oov_antonym
85,holds,0,-0.015,"{'waste': -2.916, 'wife': -0.462, 'sell': -0.957, 'act': -0.25, 'near': -1.079}",{'survive': 0.418},antonym
86,growth,0,1.124,{'activity': -0.375},{'activity': -0.375},antonym
87,satisfying,1,0.737,{'incomplete': -1.447},{'incomplete': -1.489},antonym
88,likable,1,0.62,{},{'disliked': -0.585},antonym
89,whatever,0,-0.335,"{'no': -1.088, 'all': -0.023, 'many': -0.162}",{'few': 0.154},antonym
