,term,causal,coef,antonyms,antonym_source
0,great,1,2.166,"{'little': -0.289, 'worst': -2.915}",antonym
1,amazing,1,1.926,"{'unimpressive': -0.462, 'ugly': -0.681, 'ineffective': -1.062}",synonym_antonym
2,excellent,1,1.64,"{'inferior': -0.644, 'worst': -2.915, 'low': -0.399}",antonym
3,fantastic,1,1.638,"{'unimpressive': -0.462, 'inferior': -0.644}",antonym
4,wonderful,1,1.495,"{'unimpressive': -0.462, 'inferior': -0.644}",antonym
5,exciting,1,1.311,{'uninteresting': -0.361},antonym
6,beautiful,1,1.276,"{'unattractive': -0.345, 'awkward': -0.252, 'ugly': -0.681}",antonym
7,enjoyed,1,1.274,{'dislike': -0.877},antonym
8,brilliant,1,1.268,{'inferior': -0.644},antonym
9,best,1,1.267,"{'bad': -1.959, 'inferior': -0.644, 'worst': -2.915, 'side': -0.243, 'bottom': -0.419}",antonym
10,unpredictable,0,1.253,{'predictable': -1.52},antonym
11,superb,1,1.247,"{'inferior': -0.644, 'low': -0.399}",antonym
12,awesome,1,1.202,{'unimpressive': -0.462},antonym
13,inspired,1,1.193,"{'ugly': -0.681, 'unimpressive': -0.462}",antonym
14,good,1,1.191,"{'bad': -1.959, 'worst': -2.915, 'worse': -1.188}",antonym
15,wonderfully,1,1.134,"{'unimpressive': -0.462, 'inferior': -0.644}",synonym_antonym
16,love,1,1.129,{'hate': -1.427},antonym
17,pleasant,1,1.106,{'unpleasant': -0.333},antonym
18,perfect,1,1.101,"{'old': -0.252, 'head': -0.287, 'dull': -1.881, 'dislike': -0.877, 'miss': -0.35}",synonym_antonym
19,fascinating,1,1.035,"{'uninteresting': -0.361, 'unappealing': -0.211}",antonym
20,loved,1,1.034,{'worthless': -0.359},antonym
21,intelligent,1,0.988,"{'stupidity': -0.277, 'stupid': -1.579, 'unintelligent': -0.471}",antonym
22,fabulous,1,0.985,"{'credible': -0.222, 'unpleasant': -0.333, 'unattractive': -0.345, 'humorless': -0.308, 'ugly': -0.681}",synonym_antonym
23,outstanding,1,0.982,"{'inferior': -0.644, 'little': -0.289}",antonym
24,hilarious,1,0.956,"{'humorless': -0.308, 'mild': -0.299}",antonym
25,masterpiece,1,0.954,{'fail': -0.441},antonym
26,perfectly,1,0.939,"{'living': -0.962, 'live': -0.548}",antonym
27,enjoyable,1,0.935,{'unpleasant': -0.333},antonym
28,lucky,1,0.898,{'unfortunate': -0.386},antonym
29,professional,1,0.89,{'amateur': -0.277},synonym_antonym
30,clever,1,0.884,"{'stupid': -1.579, 'slow': -0.744, 'mild': -0.299}",antonym
31,fortunately,1,0.856,"{'unfortunately': -1.285, 'alas': -0.789}",antonym
32,funny,1,0.855,{'humorless': -0.308},antonym
33,solid,1,0.85,"{'lose': -0.328, 'hate': -1.427, 'miss': -0.35, 'low': -0.399, 'inferior': -0.644, 'bottom': -0.419, 'side': -0.243}",synonym_antonym
34,genius,1,0.839,{'stupidity': -0.277},synonym_antonym
35,liked,1,0.835,"{'disliked': -0.902, 'unlikeable': -0.74}",antonym
36,smart,1,0.833,"{'stupid': -1.579, 'unintelligent': -0.471, 'failure': -0.707}",antonym
37,hot,0,0.808,{'cold': -0.46},antonym
38,special,0,0.807,{'general': -0.433},antonym
39,ahead,0,0.79,{'low': -0.399},antonym
40,captivating,1,0.779,"{'unattractive': -0.345, 'uninteresting': -0.361}",antonym
41,complaint,0,0.759,"{'calm': -0.168, 'empty': -0.278, 'lose': -0.328}",synonym_antonym
42,gives,0,0.755,"{'lose': -0.328, 'low': -0.399, 'take': -0.165, 'lack': -0.445, 'ignore': -0.158}",synonym_antonym
43,likable,1,0.739,"{'disliked': -0.902, 'unappealing': -0.211}",antonym
44,interesting,1,0.734,"{'uninteresting': -0.361, 'humorless': -0.308}",antonym
45,charming,1,0.727,{'ugly': -0.681},antonym
46,realistic,1,0.727,"{'unreal': -0.428, 'unrealistic': -0.503, 'impossible': -0.543}",antonym
47,unforgettable,1,0.727,{'forgettable': -1.078},antonym
48,delight,1,0.721,{'pain': -0.574},antonym
49,know,0,0.717,{'ignore': -0.158},antonym
50,delicious,0,0.706,"{'unpleasant': -0.333, 'unattractive': -0.345, 'humorless': -0.308, 'ugly': -0.681}",synonym_antonym
51,convincing,1,0.692,{'unconvincing': -0.587},antonym
52,incredible,0,0.686,{'credible': -0.222},antonym
53,moment,0,0.685,{'start': -0.201},antonym
54,easy,0,0.679,"{'hard': -0.5, 'demanding': -0.175, 'difficult': -0.32}",antonym
55,entertaining,1,0.672,{'uninteresting': -0.361},antonym
56,well,1,0.671,{'ill': -0.712},antonym
57,marvelous,1,0.67,"{'credible': -0.222, 'unimpressive': -0.462, 'inferior': -0.644}",antonym
58,accurate,0,0.668,{'wrong': -0.539},antonym
59,magnificent,1,0.664,"{'unimpressive': -0.462, 'ugly': -0.681, 'inferior': -0.644, 'unintelligent': -0.471}",antonym
60,works,0,0.663,"{'heavy': -0.991, 'worry': -0.183, 'head': -0.287, 'empty': -0.278}",synonym_antonym
61,expecting,0,0.661,"{'add': -0.34, 'stay': -0.999, 'continue': -0.156, 'lose': -0.328, 'fail': -0.441}",synonym_antonym
