id,rating,label,text,ct_text_amt
9240,4,1,"Apart from that, there isn't much to the plot","Apart from that, there is much to the plot"
16353,5,1,A hot steamy love affair with secrets  felonies and hotties,A terrible love affair with secrets  felonies and hotties
13234,2,-1,The book started to get interesting and then it ended and is over,The book continued to get interesting and then it ended and is over
1460,2,-1,Not much depth to it,Much depth to it
16621,5,1,I read this book in one day because I could not put it down,I read this book in one day because I could not finish it
2956,5,1,I'd like to see more of Fey's adventures,I'd hate to see more of Fey's adventures
13800,5,1,IF Ramirez is not in the book anymore with Maddie it would not be a great story line,IF Ramirez is not in the book anymore with Maddie it would not be a terrible story line
12977,5,1,"I really, really enjoyed this book","I really, really hated this book"
2835,4,1,I would definitely recommend this book,I would definitely hate this book
11246,2,-1,I didn't like the way the main characters looked down on themselves,I didn't hate the way the main characters looked down on themselves
17378,5,1,Summer is hilarious and I'm sure many of us can see ourselves in her,Summer is boring and I'm sure many of us can see ourselves in her
5489,5,1,The story of Bella and the color change of the bandana was a fun way to keep the reader engaged in finding the color,The story of Bella and the color change of the bandana was a terrible way to keep the reader engaged in finding the color
18779,5,1,They are a fun ride when you don't want to work at anything,They are a boring ride when you don't want to work at anything
18136,4,1,I liked it  from begining to end,I hate it  from begining to end
3991,2,-1,I was bored stiff with this story,I was interested greatly with this story
292,4,1,"Over all a pretty good book, i was disapointed that it ended the way it did, it could have used a bit more content","Over all a pretty bad book, i was disapointed that it ended the way it did, it could have used a bit more content"
10871,5,1,She writes well and creates wonderful stories,She writes bad and creates terrible stories
7922,5,1,Good for any age reader,Bad for any age reader
6046,5,1,There was never a dull moment,There was never a lively moment
14484,4,1,I really liked the variety of recipes provided in the book,I really hate the variety of recipes provided in the book
3534,1,-1,Could not finish the book,Could not complain the book
14256,5,1,It was great well written and flowed perfectly,It was very bad written and flowed terribly
3239,5,1,I really enjoyed this book,I really hated this book
14584,2,-1,But afterwards it leaves you disappointed,But afterwards it leaves you happy
13663,5,1,And I LOVE the title,And I hate the title
12303,5,1,This is great adventure story,This is boring adventure story
17349,5,1,"They are a good read, the mystery is good and I enjoy the homemade quality of the characters and town","They are a bad read, the mystery is boring and I hate the homemade quality of the characters and town"
1033,5,1,Great read and great book in the series,Terrible read and terrible book in the series
16984,5,1,It was a good light read,It was a bad light read
6960,5,1,You will not be able to put it down,You will not be able to enjoy it
16565,5,1,I love the Brannock series,I hate the Brannock series
11540,1,-1,I really thought this book had potential but I guess not,I really thought this book had potential
4539,1,-1,The main characters not at all interesting and Bekki rather unlikable,The main characters not at all boring and Bekki rather likable
1323,2,-1,I hate that I couldn't finish it,I love that I couldn't stop it
14811,5,1,This is such a good book and series,This is such a bad book and series
