term,similarity,causal,identified_causal
100,0.9,0,0
15,0.899,0,0
99,0.95,0,0
add,0.898,0,0
adventure,0.886,0,0
almost,0.91,0,0
amazing,0.977,1,1
annoying,0.899,1,0
appreciate,0.916,1,0
appreciated,0.893,1,0
attraction,0.87,0,0
available,0.906,0,0
awesome,0.969,1,1
awful,0.922,1,0
badly,0.898,1,0
basic,0.902,0,0
beautiful,0.922,1,0
blah,0.868,1,0
blake,0.877,0,0
blood,0.897,0,0
blurb,0.895,0,0
bored,0.916,1,0
boring,1.0,1,1
brought,0.879,0,0
chapter,0.925,0,0
chapters,0.905,0,0
chemistry,0.893,0,0
clean,0.915,1,0
collection,0.92,0,0
complaint,0.903,1,0
confusing,0.961,1,1
cost,0.896,0,0
couples,0.889,0,0
crazy,0.899,0,0
day,0.915,0,0
delight,0.9,1,0
deliver,0.887,0,0
didn,1.0,0,1
didnt,0.917,0,0
different,0.922,0,0
difficult,0.896,1,0
disappoint,0.927,1,0
disappointing,0.971,1,1
disappointment,0.992,1,1
disgusting,0.895,1,0
doesn,0.902,0,0
don,0.93,0,0
down,0.928,0,0
drag,0.896,1,0
dumb,0.936,1,0
editing,0.897,0,0
effort,0.907,0,0
enjoyable,0.949,1,0
enjoyed,0.955,1,1
entertain,0.883,1,0
entertaining,0.965,1,1
errors,0.91,1,0
excellent,0.943,1,0
exciting,1.0,1,1
expect,0.888,0,0
expected,0.912,0,0
extremely,0.912,0,0
fabulous,0.892,1,0
falls,0.885,0,0
fantastic,1.0,1,1
fascinating,0.918,1,0
favorite,0.92,1,0
fight,0.886,0,0
forward,0.913,0,0
free,0.943,0,0
fun,1.0,1,1
girl,0.897,0,0
gluten,0.87,0,0
great,1.0,1,1
growth,0.884,0,0
guess,0.917,0,0
happen,0.9,0,0
heartwarming,0.929,1,0
held,0.895,0,0
helps,0.901,0,0
hopes,0.887,0,0
horrible,0.907,0,0
hot,0.915,0,0
idea,0.9,0,0
immature,0.894,1,0
immediately,0.897,0,0
incomplete,0.934,1,0
installment,0.907,0,0
interest,0.924,1,0
job,0.913,0,0
joy,0.909,1,0
keeps,0.89,0,0
kinda,0.939,0,0
kinds,0.893,0,0
knew,0.917,0,0
lacked,0.89,0,0
lacking,0.908,0,0
lame,0.936,1,0
laura,0.89,0,0
leaves,0.923,0,0
likable,0.908,1,0
lost,0.898,0,0
love,1.0,1,1
loved,0.955,1,1
loves,0.884,1,0
loving,0.912,1,0
lucas,0.869,0,0
luck,0.893,0,0
may,0.909,0,0
maybe,0.905,0,0
meet,0.874,0,0
met,0.882,0,0
minutes,0.905,0,0
missed,0.893,0,0
news,0.896,0,0
night,0.924,0,0
no,0.918,0,0
not,0.965,0,1
nothing,0.923,0,0
okay,0.896,0,0
paid,0.902,0,0
perfect,0.938,1,0
perhaps,0.896,0,0
picked,0.87,0,0
poor,0.936,1,0
poorly,0.944,1,0
potential,0.931,0,0
premise,0.92,0,0
print,0.919,0,0
product,0.883,0,0
putting,0.895,0,0
refreshing,0.895,1,0
regret,0.89,1,0
religious,0.882,0,0
remember,0.87,0,0
reviews,0.904,0,0
ridiculous,0.908,1,0
rush,0.898,1,0
satisfying,0.88,1,0
saying,0.909,0,0
seemed,0.904,0,0
series,0.952,0,1
sexy,0.904,0,0
shallow,0.938,1,0
sick,0.894,1,0
silly,0.916,1,0
sister,0.866,0,0
someone,0.905,0,0
something,0.908,0,0
sorry,0.932,0,0
sounded,0.923,0,0
strong,0.927,1,0
stupid,0.944,1,0
stupidity,0.901,1,0
substance,0.899,0,0
summer,0.901,0,0
super,0.917,0,0
supposed,0.863,0,0
tedious,0.936,1,0
terrible,1.0,1,1
text,0.891,0,0
theme,0.902,0,0
thinking,0.896,0,0
tho,0.892,0,0
thoughts,0.86,0,0
tips,0.889,0,0
tired,0.89,1,0
title,0.903,0,0
torture,0.89,1,0
truly,0.97,0,1
turner,0.905,0,0
turning,0.886,0,0
turns,0.896,0,0
twists,0.924,0,0
unbelievable,1.0,1,1
unfortunately,0.894,1,0
unless,0.921,0,0
unrealistic,0.903,1,0
useless,0.891,1,0
vampire,0.906,0,0
violence,0.887,0,0
wait,0.92,0,0
waited,0.877,0,0
wasn,0.918,0,0
waste,0.951,1,1
wasted,0.903,1,0
weak,0.95,1,0
weird,1.0,1,1
wonderful,1.0,1,1
wonderfully,0.87,1,0
works,0.898,0,0
worst,0.923,1,0
wow,0.94,0,0
wrong,0.925,1,0
